0, ,
2240,ACADMALL,Academic Mall
2199,AA,All Area
2150,FS,Fearing Street
2153,GOOD,Goodell Area
2154,L,Lincoln Apartments
2001,11,Lot 11
2002,12,Lot 12
2263,12CS,Lot 12 Cold Storage
2003,13A,Lot 13A
2246,13B,Lot 13B
2247,13C,Lot 13C
2225,14PS,Lot 14 Paystation
2270,20,Lot 20
2004,21,Lot 21
2005,22,Lot 22
2245,23,Lot 23
2201,24AD,Lot 24 Admissions
2249,24C,Lot 24 Construction
2006,24FS,Lot 24 Fire Station
2248,24G,Lot 24 Grounds
2250,24M,Lot 24 MHEC
2008,24O,Lot 24 Olympia
2009,24P,Lot 24 Power Plant
2010,24R,Lot 24 Recycling Center
2011,24T,Lot 24 Tillson Farm
2013,25,Lot 25
2268,25MTR,Lot 25 Meters
2014,26,Lot 26
2015,27,Lot 27
2271,28,Lot 28
2017,29B,Lot 29 Baker
2224,29BU,Lot 29 Butterfield
2019,29CH,Lot 29 Chancellor's Way
2018,29C,Lot 29 Clark Hill Road
2241,29F,Lot 29 Fisher
2020,30,Lot 30
2021,31,Lot 31
2251,31MTR,Lot 31 Meters
2022,32,Lot 32
2023,32P,Lot 32 Prince
2024,33,Lot 33
2025,34,Lot 34
2226,34PS,Lot 34 Paystation
2026,35,Lot 35
2238,36PP,Lot 36 Power Plant
2239,39AC,Lot 39 Athletic Complex
2029,40T,Lot 40 Tobin
2030,41,Lot 41
2264,41C,Lot 41 Compound
2031,41PP,Lot 41 Physical Plant
2032,41TA,Lot 41 Textbook Annex
2033,42,Lot 42
2035,43A,Lot 43 Arnold
2266,43MTR,Lot 43 Meters
2036,43T,Lot 43 Totman
2038,44,Lot 44
2228,44A,Lot 44 A
2229,44B,Lot 44 B
2230,44C,Lot 44 C
2231,44D,Lot 44 D
2256,44EL,Lot 44 Eastman Lane
2039,44W,Lot 44 Wysocki House
2040,45,Lot 45
2257,45MTR,Lot 45 Meters
2047,46A,Lot 46 Apiary
2049,46B,Lot 46 Brett
2258,46BT,Lot 46 Butterfield Terrace
2050,46FMTR,Lot 46 Franklin Meters
2051,46FRMTR,Lot 46 French Meters
2052,46G,Lot 46 Gorman
2053,46IWMTR,Lot 46 Infirmary Way Meters
2054,46NAMTR,Lot 46 New Africa House Meters
2057,47B,Lot 47 Brown
2058,47C,Lot 47 Cashin
2059,47M,Lot 47 McNamara
2062,49BA,Lot 49 Baker
2061,49BU,Lot 49 Butterfield
2063,49C,Lot 49 Chadbourne
2064,49D,Lot 49 Dickinson
2065,49F,Lot 49 Fields
2067,49G,Lot 49 Grayson
2068,49GR,Lot 49 Greenough
2207,49O,Lot 49 Orchard Hill
2069,49S,Lot 49 Solar House
2070,49V,Lot 49 Van Meter
2072,49WT,Lot 49 Water Towers
2071,49W,Lot 49 Webster
2074,50B,Lot 50 Berkshire DC
2075,50C,Lot 50 Cance
2076,50CO,Lot 50 Coolidge
2077,50E,Lot 50 Emerson
2079,50HD,Lot 50 Hampden DC
2078,50HA,Lot 50 Hampshire DC
2080,50J,Lot 50 James
2081,50JA,Lot 50 John Adams
2082,50JQ,Lot 50 John Quincy Adams
2083,50K,Lot 50 Kennedy
2084,50M,Lot 50 Melville
2085,50MO,Lot 50 Moore
2087,50PA,Lot 50 Patterson
2088,50PI,Lot 50 Pierpont
2086,50P,Lot 50 Prince
2090,50W,Lot 50 Washington
2091,52,Lot 52
2092,54,Lot 54
2094,62C,Lot 62 Clark
2208,62FA,Lot 62 Fine Arts Center
2097,62M,Lot 62 Morrill
2237,62VA,Lot 62 Visual Arts Building
2261,63C,Lot 63 Chancellor's House
2099,63E,Lot 63 East Experiment Station
2223,63FE,Lot 63 Fernald
2260,63IS,Lot 63 Integrated Science
2259,63MN,Lot 63 Morrill North
2102,63P,Lot 63 Public Health
2103,63S,Lot 63 Skinner
2219,63TW,Lot 63 Thatcher Way
2104,63W,Lot 63 Wilder
2105,63WO,Lot 63 Worcester
2107,64B,Lot 64 Bartlett
2115,64BL,Lot 64 Blaisdell
2244,64CC,Lot 64 Campus Center
2109,64CH,Lot 64 Curry Hicks
2110,64D,Lot 64 Dickinson
2112,64G,Lot 64 Goodell
2113,64GA,Lot 64 Grinnell Arena
2114,64HA,Lot 64 Hasbrouck Lab
2116,64HR,Lot 64 Herter Hall
2117,64MA,Lot 64 Munson Annex
2242,64PS,Lot 64 Paystation
2118,64S,Lot 64 South College
2119,64SU,Lot 64 Student Union Circle
2120,64T,Lot 64 Thompson
2123,65A,Lot 65 Aggie Engineering
2124,65B,Lot 65 Bowditch
2126,65CH,Lot 65 Chenoweth
2127,65FL,Lot 65 Flint Circle
2129,65GO,Lot 65 Goessmann Lab
2128,65G,Lot 65 Gunness
2131,65H,Lot 65 Holdsworth
2132,65K,Lot 65 Knowles Engineering
2130,65GR,Lot 65 Lederle Grad Research Tow
2134,65MC,Lot 65 Marcus
2133,65M,Lot 65 Marston
2135,65P,Lot 65 Paige
2125,65C,Lot 65 Silvio Conte
2136,65S,Lot 65 Stockbridge
2234,65TH,Lot 65 Thayer
2137,65WMTR,Lot 65 W. Exp. Station Meters
2267,66FMTR,Lot 66 Furcolo Meters
2140,66MM,Lot 66 Marks Meadow School
2139,66MMTR,Lot 66 Montague Meters
2269,67MTR,Lot 67 Meters
2262,67MW,Lot 67 Mullins Way
2141,67MC,Lot 67 W. Mullins Center
2142,68,Lot 68
2143,71,Lot 71
2144,71CCMTR,Lot 71 County Circle Meters
2265,71WMTR,Lot 71 Whitmore Meters
2155,LG,Lower Garage
2176,STAD,McQuirk Stadium
2187,NO,No Lot
2160,NVA,North Village Section A
2161,NVB,North Village Section B
2162,NVC,North Village Section C
2163,NVD,North Village Section D
2164,NVE,North Village Section E
2165,NVF,North Village Section F
2166,NVG,North Village Section G
2167,NVH,North Village Section H
2168,NVI,North Village Section I
2169,NVJ,North Village Section J
2173,PVTA,PVTA Bus Compund
2172,PDR,President's Drive
2177,SWH,Southwest Horseshoe
2175,SD,Stadium Drive
2179,UD,University Drive
2204,UHS,University Health Service
2180,UG,Upper Garage
2221,UG6,Upper Garage Level 6
